transaction_id,project_id,transaction_date,posting_date,transaction_type,hours,wip_amount,wip_status,write_up_down,billed_amount,invoice_id,created_at_utc
TXN-50777,PRJ-1018,2026-03-21,2026-03-23,LABOR,12.0,3000.0,0,0.0,0.0,,2026-03-23T22:24:00Z
TXN-51284,PRJ-1029,2026-03-19,2026-03-21,LABOR,10.0,2100.0,0,0.0,0.0,,2026-03-21T21:05:00Z
TXN-50958,PRJ-1022,2026-03-23,2026-03-23,LABOR,4.0,600.0,0,0.0,0.0,,2026-03-23T22:48:00Z
TXN-51341,PRJ-1031,2026-01-27,2026-01-28,EXPENSE,0.0,2201.0,2,-265.0,1936.0,INV-9086,2026-01-28T20:13:00Z
TXN-50168,PRJ-1005,2026-01-14,2026-01-14,LABOR,10.0,1750.0,2,62.0,1812.0,INV-9012,2026-01-14T20:31:00Z
TXN-51544,PRJ-1035,2026-03-22,2026-03-24,LABOR,22.0,4620.0,0,0.0,0.0,,2026-03-24T22:42:00Z
TXN-51334,PRJ-1030,2026-03-05,2026-03-06,LABOR,14.0,2450.0,0,0.0,0.0,,2026-03-06T13:08:00Z
TXN-50819,PRJ-1019,2026-02-03,2026-02-03,LABOR,16.0,3360.0,0,0.0,0.0,,2026-02-03T18:14:00Z
TXN-51130,PRJ-1026,2026-02-05,2026-02-07,LABOR,4.0,840.0,2,-17.0,823.0,INV-9074,2026-02-07T19:49:00Z
TXN-51142,PRJ-1026,2026-03-10,2026-03-12,EXPENSE,0.0,1955.0,0,0.0,0.0,,2026-03-12T17:35:00Z
TXN-50434,PRJ-1010,2026-03-17,2026-03-19,LABOR,10.0,2500.0,0,0.0,0.0,,2026-03-19T18:57:00Z
TXN-51717,PRJ-1040,2026-02-22,2026-02-24,LABOR,22.0,2090.0,2,-262.0,1828.0,INV-9110,2026-02-24T22:36:00Z
TXN-50768,PRJ-1018,2026-02-14,2026-02-16,LABOR,10.0,1200.0,0,0.0,0.0,,2026-02-16T20:45:00Z
TXN-51649,PRJ-1038,2026-02-15,2026-02-15,LABOR,16.0,2400.0,0,0.0,0.0,,2026-02-15T14:44:00Z
TXN-50873,PRJ-1020,2026-03-15,2026-03-17,LABOR,14.0,2940.0,0,0.0,0.0,,2026-03-17T13:36:00Z
TXN-50462,PRJ-1011,2026-02-14,2026-02-14,LABOR,10.0,1200.0,2,-121.0,1079.0,INV-9031,2026-02-14T17:20:00Z
TXN-51011,PRJ-1023,2026-03-08,2026-03-08,LABOR,18.0,2160.0,0,0.0,0.0,,2026-03-08T13:28:00Z
TXN-51535,PRJ-1035,2026-03-11,2026-03-12,LABOR,18.0,3150.0,0,0.0,0.0,,2026-03-12T19:25:00Z
TXN-51384,PRJ-1032,2026-01-13,2026-01-15,LABOR,22.0,4620.0,2,-632.0,3988.0,INV-9089,2026-01-15T17:21:00Z
TXN-50521,PRJ-1012,2026-03-09,2026-03-09,LABOR,14.0,3500.0,2,-470.0,3030.0,INV-9035,2026-03-09T17:32:00Z
TXN-51598,PRJ-1037,2026-01-16,2026-01-17,LABOR,12.0,1440.0,0,0.0,0.0,,2026-01-17T19:33:00Z
TXN-50525,PRJ-1013,2026-01-15,2026-01-15,LABOR,12.0,2520.0,2,-327.0,2193.0,INV-9036,2026-01-15T16:51:00Z
TXN-50402,PRJ-1010,2026-01-17,2026-01-17,LABOR,4.0,600.0,2,-105.0,495.0,INV-9027,2026-01-17T22:13:00Z
TXN-50192,PRJ-1005,2026-02-18,2026-02-19,LABOR,4.0,840.0,0,0.0,0.0,,2026-02-19T19:43:00Z
TXN-50033,PRJ-1001,2026-03-14,2026-03-15,LABOR,22.0,3850.0,0,0.0,0.0,,2026-03-15T17:48:00Z
TXN-51320,PRJ-1030,2026-02-02,2026-02-03,LABOR,8.0,1400.0,2,-136.0,1264.0,INV-9084,2026-02-03T19:46:00Z
TXN-50311,PRJ-1007,2026-03-15,2026-03-17,LABOR,10.0,2500.0,2,86.0,2586.0,INV-9020,2026-03-17T22:07:00Z
TXN-51452,PRJ-1033,2026-03-27,2026-03-27,LABOR,18.0,3150.0,0,0.0,0.0,,2026-03-27T17:30:00Z
TXN-51587,PRJ-1036,2026-03-02,2026-03-02,LABOR,14.0,1330.0,2,-179.0,1151.0,INV-9102,2026-03-02T15:42:00Z
TXN-51411,PRJ-1032,2026-03-13,2026-03-14,LABOR,8.0,2000.0,0,0.0,0.0,,2026-03-14T22:25:00Z
TXN-51408,PRJ-1032,2026-03-08,2026-03-09,LABOR,20.0,4200.0,0,0.0,0.0,,2026-03-09T21:22:00Z
TXN-51204,PRJ-1028,2026-01-21,2026-01-23,LABOR,22.0,5500.0,2,-105.0,5395.0,INV-9077,2026-01-23T22:57:00Z
TXN-50680,PRJ-1016,2026-03-05,2026-03-05,EXPENSE,0.0,853.0,0,0.0,0.0,,2026-03-05T16:04:00Z
TXN-50157,PRJ-1004,2026-03-27,2026-03-29,LABOR,16.0,2800.0,0,0.0,0.0,,2026-03-29T13:17:00Z
TXN-51105,PRJ-1025,2026-02-07,2026-02-09,EXPENSE,0.0,2044.0,1,0.0,0.0,,2026-02-09T14:54:00Z
TXN-51156,PRJ-1027,2026-01-03,2026-01-04,LABOR,22.0,4620.0,2,-340.0,4280.0,INV-9075,2026-01-04T13:52:00Z
TXN-50473,PRJ-1011,2026-03-17,2026-03-17,LABOR,8.0,1680.0,0,0.0,0.0,,2026-03-17T18:59:00Z
TXN-51311,PRJ-1030,2026-02-23,2026-02-24,LABOR,4.0,840.0,2,-59.0,781.0,INV-9084,2026-02-24T20:16:00Z
TXN-50631,PRJ-1015,2026-02-07,2026-02-08,LABOR,14.0,2450.0,0,0.0,0.0,,2026-02-08T13:04:00Z
TXN-50254,PRJ-1006,2026-03-04,2026-03-04,LABOR,6.0,1500.0,2,-166.0,1334.0,INV-9017,2026-03-04T15:27:00Z
TXN-51287,PRJ-1029,2026-03-23,2026-03-25,LABOR,20.0,4200.0,0,0.0,0.0,,2026-03-25T21:06:00Z
TXN-50694,PRJ-1017,2026-01-16,2026-01-16,LABOR,6.0,1260.0,2,-101.0,1159.0,INV-9048,2026-01-16T22:14:00Z
TXN-50757,PRJ-1018,2026-02-04,2026-02-06,LABOR,16.0,2800.0,2,-517.0,2283.0,INV-9052,2026-02-06T18:28:00Z
TXN-51543,PRJ-1035,2026-03-26,2026-03-27,LABOR,8.0,1400.0,0,0.0,0.0,,2026-03-27T22:22:00Z
TXN-51090,PRJ-1025,2026-03-07,2026-03-08,LABOR,22.0,5500.0,0,0.0,0.0,,2026-03-08T21:19:00Z
TXN-51043,PRJ-1024,2026-03-19,2026-03-20,LABOR,12.0,1440.0,0,0.0,0.0,,2026-03-20T18:53:00Z
TXN-51075,PRJ-1025,2026-02-13,2026-02-14,LABOR,8.0,960.0,2,-111.0,849.0,INV-9071,2026-02-14T16:35:00Z
TXN-50822,PRJ-1019,2026-03-16,2026-03-18,LABOR,16.0,1520.0,0,0.0,0.0,,2026-03-18T14:39:00Z
TXN-50108,PRJ-1003,2026-02-17,2026-02-18,LABOR,16.0,1520.0,0,0.0,0.0,,2026-02-18T17:50:00Z
TXN-50262,PRJ-1007,2026-01-10,2026-01-12,LABOR,14.0,2940.0,2,-205.0,2735.0,INV-9018,2026-01-12T16:22:00Z
TXN-51312,PRJ-1030,2026-02-24,2026-02-25,LABOR,16.0,2800.0,2,-455.0,2345.0,INV-9084,2026-02-25T15:43:00Z
TXN-50501,PRJ-1012,2026-02-13,2026-02-13,LABOR,4.0,380.0,2,4.0,384.0,INV-9034,2026-02-13T14:01:00Z
TXN-51327,PRJ-1030,2026-03-27,2026-03-29,EXPENSE,0.0,614.0,0,0.0,0.0,,2026-03-29T16:20:00Z
TXN-50785,PRJ-1018,2026-03-14,2026-03-14,LABOR,4.0,600.0,2,-92.0,508.0,INV-9053,2026-03-14T19:42:00Z
TXN-50913,PRJ-1021,2026-03-22,2026-03-23,EXPENSE,0.0,1290.0,0,0.0,0.0,,2026-03-23T16:16:00Z
TXN-50839,PRJ-1019,2026-03-26,2026-03-27,EXPENSE,0.0,1727.0,2,38.0,1765.0,INV-9056,2026-03-27T16:29:00Z
TXN-50909,PRJ-1021,2026-02-07,2026-02-08,LABOR,10.0,2100.0,0,0.0,0.0,,2026-02-08T18:54:00Z
TXN-50986,PRJ-1023,2026-01-11,2026-01-11,LABOR,8.0,960.0,0,0.0,0.0,,2026-01-11T14:52:00Z
TXN-50601,PRJ-1014,2026-03-23,2026-03-24,LABOR,18.0,3150.0,0,0.0,0.0,,2026-03-24T21:18:00Z
TXN-51033,PRJ-1024,2026-02-24,2026-02-24,LABOR,6.0,900.0,0,0.0,0.0,,2026-02-24T14:17:00Z
TXN-50563,PRJ-1013,2026-03-17,2026-03-17,LABOR,18.0,2160.0,2,-124.0,2036.0,INV-9038,2026-03-17T13:18:00Z
TXN-50943,PRJ-1022,2026-02-08,2026-02-09,LABOR,20.0,5000.0,2,120.0,5120.0,INV-9063,2026-02-09T14:16:00Z
TXN-50274,PRJ-1007,2026-01-07,2026-01-08,LABOR,14.0,1680.0,0,0.0,0.0,,2026-01-08T19:01:00Z
TXN-50452,PRJ-1011,2026-01-22,2026-01-24,LABOR,22.0,5500.0,0,0.0,0.0,,2026-01-24T19:14:00Z
TXN-51242,PRJ-1028,2026-03-07,2026-03-08,LABOR,14.0,2100.0,2,-59.0,2041.0,INV-9079,2026-03-08T17:25:00Z
TXN-50826,PRJ-1019,2026-03-22,2026-03-24,LABOR,22.0,2090.0,0,0.0,0.0,,2026-03-24T19:33:00Z
